"id","lat","lon","date","daily_river_discharge"
1,23.8,90.37,2020-03-07,1.31
1,23.8,90.37,2020-03-08,1.12
1,23.8,90.37,2020-03-09,1.03
1,23.8,90.37,2020-03-10,0.97
1,23.8,90.37,2020-03-11,0.94
1,23.8,90.37,2020-03-12,0.94
1,23.8,90.37,2020-03-13,0.91
1,23.8,90.37,2020-03-14,0.91
1,23.8,90.37,2020-03-15,0.91
1,23.8,90.37,2020-03-16,0.91
1,23.8,90.37,2020-03-17,0.87
1,23.8,90.37,2020-03-18,0.87
1,23.8,90.37,2020-03-19,0.87
1,23.8,90.37,2020-03-20,0.87
1,23.8,90.37,2020-03-21,0.87
1,23.8,90.37,2020-03-22,0.87
1,23.8,90.37,2020-03-23,0.87
1,23.8,90.37,2020-03-24,0.87
1,23.8,90.37,2020-03-25,0.87
1,23.8,90.37,2020-03-26,0.87
1,23.8,90.37,2020-03-27,0.87
1,23.8,90.37,2020-03-28,0.87
1,23.8,90.37,2020-03-29,0.87
1,23.8,90.37,2020-03-30,0.87
1,23.8,90.37,2020-03-31,0.87
1,23.8,90.37,2020-04-01,0.94
1,23.8,90.37,2020-04-02,0.97
1,23.8,90.37,2020-04-03,0.97
1,23.8,90.37,2020-04-04,0.97
1,23.8,90.37,2020-04-05,0.97
1,23.8,90.37,2020-04-06,0.97
1,23.8,90.37,2020-04-07,0.97
1,23.8,90.37,2020-04-08,0.97
1,23.8,90.37,2020-04-09,0.97
1,23.8,90.37,2020-04-10,0.97
1,23.8,90.37,2020-04-11,0.97
1,23.8,90.37,2020-04-12,0.97
1,23.8,90.37,2020-04-13,1.03
1,23.8,90.37,2020-04-14,1.09
1,23.8,90.37,2020-04-15,1.62
1,23.8,90.37,2020-04-16,1.75
1,23.8,90.37,2020-04-17,3.03
1,23.8,90.37,2020-04-18,6.24
1,23.8,90.37,2020-04-19,3.29
1,23.8,90.37,2020-04-20,4.81
1,23.8,90.37,2020-04-21,2.75
1,23.8,90.37,2020-04-22,3.38
1,23.8,90.37,2020-04-23,4.9
1,23.8,90.37,2020-04-24,8.04
1,23.8,90.37,2020-04-25,4.31
1,23.8,90.37,2020-04-26,3.91
1,23.8,90.37,2020-04-27,2.75
1,23.8,90.37,2020-04-28,3.53
1,23.8,90.37,2020-04-29,3.47
1,23.8,90.37,2020-04-30,2.69
1,23.8,90.37,2020-05-01,2.75
1,23.8,90.37,2020-05-02,2.53
1,23.8,90.37,2020-05-03,2.09
1,23.8,90.37,2020-05-04,1.65
1,23.8,90.37,2020-05-05,2.87
1,23.8,90.37,2020-05-06,3.09
1,23.8,90.37,2020-05-07,2.18
1,23.8,90.37,2020-05-08,1.69
1,23.8,90.37,2020-05-09,1.5
1,23.8,90.37,2020-05-10,1.38
1,23.8,90.37,2020-05-11,1.31
1,23.8,90.37,2020-05-12,1.28
1,23.8,90.37,2020-05-13,1.81
1,23.8,90.37,2020-05-14,1.62
1,23.8,90.37,2020-05-15,1.65
1,23.8,90.37,2020-05-16,1.53
1,23.8,90.37,2020-05-17,1.44
1,23.8,90.37,2020-05-18,1.34
1,23.8,90.37,2020-05-19,1.34
1,23.8,90.37,2020-05-20,8.31
1,23.8,90.37,2020-05-21,4.94
1,23.8,90.37,2020-05-22,2.75
1,23.8,90.37,2020-05-23,1.97
1,23.8,90.37,2020-05-24,1.59
1,23.8,90.37,2020-05-25,1.44
1,23.8,90.37,2020-05-26,1.34
1,23.8,90.37,2020-05-27,2.47
1,23.8,90.37,2020-05-28,3.32
1,23.8,90.37,2020-05-29,4.43
1,23.8,90.37,2020-05-30,3.44
1,23.8,90.37,2020-05-31,3.35
1,23.8,90.37,2020-06-01,2.53
1,23.8,90.37,2020-06-02,3
1,23.8,90.37,2020-06-03,4.97
1,23.8,90.37,2020-06-04,7.34
1,23.8,90.37,2020-06-05,4.87
1,23.8,90.37,2020-06-06,3.56
1,23.8,90.37,2020-06-07,3.12
1,23.8,90.37,2020-06-08,2.37
1,23.8,90.37,2020-06-09,1.94
1,23.8,90.37,2020-06-10,2.34
1,23.8,90.37,2020-06-11,2.81
1,23.8,90.37,2020-06-12,3.41
1,23.8,90.37,2020-06-13,3.29
1,23.8,90.37,2020-06-14,2.69
1,23.8,90.37,2020-06-15,2.37
1,23.8,90.37,2020-06-16,4.28
1,23.8,90.37,2020-06-17,5.65
1,23.8,90.37,2020-06-18,4.25
1,23.8,90.37,2020-06-19,3.38
1,23.8,90.37,2020-06-20,2.44
1,23.8,90.37,2020-06-21,2.22
1,23.8,90.37,2020-06-22,2.27
1,23.8,90.37,2020-06-23,2.18
1,23.8,90.37,2020-06-24,2.01
1,23.8,90.37,2020-06-25,1.81
1,23.8,90.37,2020-06-26,2.4
1,23.8,90.37,2020-06-27,5.24
1,23.8,90.37,2020-06-28,6.13
1,23.8,90.37,2020-06-29,5.58
1,23.8,90.37,2020-06-30,3.56
1,23.8,90.37,2020-07-01,2.73
1,23.8,90.37,2020-07-02,2.48
1,23.8,90.37,2020-07-03,2.08
1,23.8,90.37,2020-07-04,3.36
1,23.8,90.37,2020-07-05,3
1,23.8,90.37,2020-07-06,2.71
1,23.8,90.37,2020-07-07,2.98
1,23.8,90.37,2020-07-08,3.72
1,23.8,90.37,2020-07-09,4.13
1,23.8,90.37,2020-07-10,4.66
1,23.8,90.37,2020-07-11,6.66
1,23.8,90.37,2020-07-12,5.46
1,23.8,90.37,2020-07-13,4
1,23.8,90.37,2020-07-14,3.4
1,23.8,90.37,2020-07-15,2.94
1,23.8,90.37,2020-07-16,2.34
1,23.8,90.37,2020-07-17,2.58
1,23.8,90.37,2020-07-18,2.39
1,23.8,90.37,2020-07-19,2.85
1,23.8,90.37,2020-07-20,4.24
1,23.8,90.37,2020-07-21,5.5
1,23.8,90.37,2020-07-22,6.35
1,23.8,90.37,2020-07-23,4.19
1,23.8,90.37,2020-07-24,3.07
1,23.8,90.37,2020-07-25,2.4
1,23.8,90.37,2020-07-26,2.08
1,23.8,90.37,2020-07-27,2.69
1,23.8,90.37,2020-07-28,4.05
1,23.8,90.37,2020-07-29,3.33
1,23.8,90.37,2020-07-30,2.58
1,23.8,90.37,2020-07-31,2.18
1,23.8,90.37,2020-08-01,1.97
1,23.8,90.37,2020-08-02,2.87
1,23.8,90.37,2020-08-03,3.59
1,23.8,90.37,2020-08-04,5.03
1,23.8,90.37,2020-08-05,4.42
1,23.8,90.37,2020-08-06,3.41
1,23.8,90.37,2020-08-07,2.71
1,23.8,90.37,2020-08-08,2.24
1,23.8,90.37,2020-08-09,2.03
1,23.8,90.37,2020-08-10,1.89
1,23.8,90.37,2020-08-11,2.03
1,23.8,90.37,2020-08-12,2.27
1,23.8,90.37,2020-08-13,2.03
1,23.8,90.37,2020-08-14,1.88
1,23.8,90.37,2020-08-15,1.89
1,23.8,90.37,2020-08-16,2.13
1,23.8,90.37,2020-08-17,2.18
1,23.8,90.37,2020-08-18,2.33
1,23.8,90.37,2020-08-19,3.21
1,23.8,90.37,2020-08-20,3.67
1,23.8,90.37,2020-08-21,4.96
1,23.8,90.37,2020-08-22,4.62
1,23.8,90.37,2020-08-23,3.75
1,23.8,90.37,2020-08-24,2.82
1,23.8,90.37,2020-08-25,2.48
1,23.8,90.37,2020-08-26,3.4
1,23.8,90.37,2020-08-27,2.7
1,23.8,90.37,2020-08-28,2.34
1,23.8,90.37,2020-08-29,2.07
1,23.8,90.37,2020-08-30,2.06
1,23.8,90.37,2020-08-31,3.43
1,23.8,90.37,2020-09-01,3.14
1,23.8,90.37,2020-09-02,2.48
1,23.8,90.37,2020-09-03,2.03
1,23.8,90.37,2020-09-04,1.81
1,23.8,90.37,2020-09-05,1.68
1,23.8,90.37,2020-09-06,1.61
1,23.8,90.37,2020-09-07,1.94
1,23.8,90.37,2020-09-08,2.28
1,23.8,90.37,2020-09-09,3.24
1,23.8,90.37,2020-09-10,3.75
1,23.8,90.37,2020-09-11,2.73
1,23.8,90.37,2020-09-12,2.22
1,23.8,90.37,2020-09-13,2.25
1,23.8,90.37,2020-09-14,2.18
1,23.8,90.37,2020-09-15,2.78
1,23.8,90.37,2020-09-16,2.68
1,23.8,90.37,2020-09-17,2.56
1,23.8,90.37,2020-09-18,2.1
1,23.8,90.37,2020-09-19,1.79
1,23.8,90.37,2020-09-20,1.67
1,23.8,90.37,2020-09-21,2.7
1,23.8,90.37,2020-09-22,2.98
1,23.8,90.37,2020-09-23,4.21
1,23.8,90.37,2020-09-24,4.71
1,23.8,90.37,2020-09-25,3.52
1,23.8,90.37,2020-09-26,3.98
1,23.8,90.37,2020-09-27,3.55
1,23.8,90.37,2020-09-28,2.52
1,23.8,90.37,2020-09-29,2.35
1,23.8,90.37,2020-09-30,2.91
1,23.8,90.37,2020-10-01,2.5
1,23.8,90.37,2020-10-02,2.06
1,23.8,90.37,2020-10-03,1.89
1,23.8,90.37,2020-10-04,1.81
1,23.8,90.37,2020-10-05,2.2
1,23.8,90.37,2020-10-06,2.37
1,23.8,90.37,2020-10-07,2.3
1,23.8,90.37,2020-10-08,1.9
1,23.8,90.37,2020-10-09,1.65
1,23.8,90.37,2020-10-10,1.74
1,23.8,90.37,2020-10-11,1.67
1,23.8,90.37,2020-10-12,1.69
1,23.8,90.37,2020-10-13,1.57
1,23.8,90.37,2020-10-14,1.65
1,23.8,90.37,2020-10-15,1.55
1,23.8,90.37,2020-10-16,1.44
1,23.8,90.37,2020-10-17,1.38
1,23.8,90.37,2020-10-18,1.55
1,23.8,90.37,2020-10-19,1.62
1,23.8,90.37,2020-10-20,1.74
1,23.8,90.37,2020-10-21,1.94
1,23.8,90.37,2020-10-22,5.92
1,23.8,90.37,2020-10-23,12.06
1,23.8,90.37,2020-10-24,5.67
1,23.8,90.37,2020-10-25,2.94
1,23.8,90.37,2020-10-26,2.13
1,23.8,90.37,2020-10-27,1.8
1,23.8,90.37,2020-10-28,1.62
1,23.8,90.37,2020-10-29,1.53
1,23.8,90.37,2020-10-30,1.47
1,23.8,90.37,2020-10-31,1.67
1,23.8,90.37,2020-11-01,1.82
1,23.8,90.37,2020-11-02,1.63
1,23.8,90.37,2020-11-03,1.5
1,23.8,90.37,2020-11-04,1.4
1,23.8,90.37,2020-11-05,1.34
1,23.8,90.37,2020-11-06,1.3
1,23.8,90.37,2020-11-07,1.26
1,23.8,90.37,2020-11-08,1.24
1,23.8,90.37,2020-11-09,1.22
1,23.8,90.37,2020-11-10,1.2
1,23.8,90.37,2020-11-11,1.18
1,23.8,90.37,2020-11-12,1.16
1,23.8,90.37,2020-11-13,1.16
